id,symbol,name,type,is_active,payout,min_order_amount,max_order_amount,min_duration,max_duration,available_timeframes,created_at,updated_at
463,H33HKD,H33HKD,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
464,LNKUSD,LNKUSD,cryptocurrency,1,15.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
466,SMI20,SMI20,index,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555372
467,USDCNH_otc,USDCNH_otc,currency,1,66.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555372
468,EURTRY_otc,EURTRY_otc,currency,1,92.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
470,BNB-USD_otc,BNB-USD_otc,cryptocurrency,1,92.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
472,SOL-USD_otc,SOL-USD_otc,cryptocurrency,1,68.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555372
473,ADA-USD_otc,ADA-USD_otc,cryptocurrency,1,52.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
476,TRX-USD_otc,TRX-USD_otc,cryptocurrency,1,45.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555372
478,LINK_otc,LINK_otc,cryptocurrency,1,85.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
480,TON-USD_otc,TON-USD_otc,cryptocurrency,1,75.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555372
481,AVAX_otc,AVAX_otc,cryptocurrency,1,92.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
484,BTCUSD_otc,BTCUSD_otc,cryptocurrency,1,76.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
485,DOGE_otc,DOGE_otc,cryptocurrency,1,92.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
486,DOTUSD_otc,DOTUSD_otc,cryptocurrency,1,57.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
487,ETHUSD_otc,ETHUSD_otc,cryptocurrency,1,92.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
488,LTCUSD_otc,LTCUSD_otc,cryptocurrency,1,92.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555012
491,MATIC_otc,MATIC_otc,cryptocurrency,1,88.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.555372
494,BITB_otc,BITB_otc,cryptocurrency,1,92.0,1.0,50000.0,5,43200,"[60, 120, 180, 300]",2026-02-26 16:39:12.836467,2026-03-01 01:48:56.554018
500,USDBDT_otc,USDBDT_otc,currency,1,92.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555372
502,USDBRL_otc,USDBRL_otc,currency,1,84.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555372
504,USDIDR,USDIDR,currency,1,71.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555372
506,USDARS_otc,USDARS_otc,currency,1,33.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555372
508,USDDZD_otc,USDDZD_otc,currency,1,81.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555372
509,USDMXN_otc,USDMXN_otc,currency,1,75.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555372
511,USDPHP_otc,USDPHP_otc,currency,1,83.0,1.0,50000.0,5,43200,"[60, 120, 180, 300, 600, 900, 1800, 2700, 3600, 7200, 10800, 14400]",2026-02-26 16:39:12.837464,2026-03-01 01:48:56.555886
