================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-05T20:41:16.865135
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260305_204116.log
================================================================================

[2026-03-05T20:41:16.868908] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-05T20:41:17.870485] [CONNECTED] Conexão estabelecida em DEMO-EU
[2026-03-05T20:41:22.268319] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.268319] [RECV] Mensagem recebida (39 bytes): [["USDCAD_otc",1772761282.071,1.38173]]
[2026-03-05T20:41:22.269394] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.269912] [RECV] Mensagem recebida (39 bytes): [["USDCHF_otc",1772761282.071,0.81289]]
[2026-03-05T20:41:22.270950] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.270950] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772761282.071,158.041]]
[2026-03-05T20:41:22.271972] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.272478] [RECV] Mensagem recebida (40 bytes): [["EURRUB_otc",1772761282.072,85.29154]]
[2026-03-05T20:41:22.704194] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.704705] [RECV] Mensagem recebida (37 bytes): [["AUDCAD_otc",1772761282.57,0.9134]]
[2026-03-05T20:41:22.706695] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.753159] [RECV] Mensagem recebida (39 bytes): [["AUDNZD_otc",1772761282.571,1.10101]]
[2026-03-05T20:41:22.755282] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.755282] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772761282.571,113.172]]
[2026-03-05T20:41:22.756837] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.756837] [RECV] Mensagem recebida (38 bytes): [["EURUSD_otc",1772761282.571,1.1738]]
[2026-03-05T20:41:22.757829] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.757829] [RECV] Mensagem recebida (39 bytes): [["NZDUSD_otc",1772761282.571,0.58825]]
[2026-03-05T20:41:22.758826] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.759824] [RECV] Mensagem recebida (39 bytes): [["USDCAD_otc",1772761282.571,1.38177]]
[2026-03-05T20:41:22.760821] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.760821] [RECV] Mensagem recebida (39 bytes): [["USDCHF_otc",1772761282.571,0.81298]]
[2026-03-05T20:41:22.761819] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.761819] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772761282.571,158.042]]
[2026-03-05T20:41:22.762438] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:22.763416] [RECV] Mensagem recebida (40 bytes): [["EURRUB_otc",1772761282.572,85.29141]]
[2026-03-05T20:41:23.218242] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.218751] [RECV] Mensagem recebida (38 bytes): [["AUDCAD_otc",1772761283.07,0.91346]]
[2026-03-05T20:41:23.220336] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.220881] [RECV] Mensagem recebida (39 bytes): [["AUDNZD_otc",1772761283.071,1.10107]]
[2026-03-05T20:41:23.222404] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.222404] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772761283.071,113.169]]
[2026-03-05T20:41:23.223906] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.223906] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772761283.072,1.17381]]
[2026-03-05T20:41:23.224904] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.225532] [RECV] Mensagem recebida (39 bytes): [["NZDUSD_otc",1772761283.072,0.58827]]
[2026-03-05T20:41:23.226573] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.226573] [RECV] Mensagem recebida (39 bytes): [["USDCAD_otc",1772761283.072,1.38176]]
[2026-03-05T20:41:23.228625] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.228625] [RECV] Mensagem recebida (37 bytes): [["USDCHF_otc",1772761283.072,0.813]]
[2026-03-05T20:41:23.229133] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.230128] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772761283.072,158.044]]
[2026-03-05T20:41:23.231126] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.231126] [RECV] Mensagem recebida (40 bytes): [["EURRUB_otc",1772761283.072,85.29136]]
[2026-03-05T20:41:23.675144] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.684110] [RECV] Mensagem recebida (38 bytes): [["AUDCAD_otc",1772761283.57,0.91349]]
[2026-03-05T20:41:23.686208] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.715837] [RECV] Mensagem recebida (39 bytes): [["AUDNZD_otc",1772761283.571,1.10102]]
[2026-03-05T20:41:23.719480] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.719480] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772761283.571,113.182]]
[2026-03-05T20:41:23.720456] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.721453] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772761283.571,1.17383]]
[2026-03-05T20:41:23.723072] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.723072] [RECV] Mensagem recebida (39 bytes): [["NZDUSD_otc",1772761283.571,0.58829]]
[2026-03-05T20:41:23.724849] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.724849] [RECV] Mensagem recebida (39 bytes): [["USDCAD_otc",1772761283.571,1.38177]]
[2026-03-05T20:41:23.725897] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.726411] [RECV] Mensagem recebida (39 bytes): [["USDCHF_otc",1772761283.571,0.81298]]
[2026-03-05T20:41:23.727433] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.727433] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772761283.571,158.043]]
[2026-03-05T20:41:23.729596] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:23.729596] [RECV] Mensagem recebida (40 bytes): [["EURRUB_otc",1772761283.572,85.29151]]
[2026-03-05T20:41:24.179231] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-05T20:41:24.182273] [RECV] Mensagem recebida (39 bytes): [["AUDCAD_otc",1772761284.071,0.91361]]
[2026-03-05T20:41:24.183812] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
